ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
3220;M;Dunaújvárosi Fõiskola;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU233;40;192422
3221;M;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;194701
3222;M;Budapesti Corvinus Egyetem;Economic Science;nemzetközi kapcsolatok;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;226100
3223;F;Nyugat-Magyarországi Egyetem;Arts and Humanities;andragógia;Andragogy;B;8329;832;8;818;Skilled manual workers;Other stationary plant and machine operators;0;HU101;40;114803
3224;M;Debreceni Egyetem;Natural sciences;biológus;NA;E;2167;216;2;213;Professionals;Life Science Professionals;1;HU211;40;200200
3225;M;Szegedi Tudományegyetem;Informatics;mûszaki informatikai;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU333;10;52378
3226;F;Budapesti Gazdasági Fõiskola;"Commerce; marketing; business administration";kereskedelmi szakmenedzser;NA;A;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU101;30;81000
3227;M;Szegedi Tudományegyetem;Teacher training;tanári;NA;M;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU332;40;185055
3228;F;Eszterházy Károly Fõiskola;Social Science;szociálpedagógia;Social pedagogy;B;3311;331;3;322;Technicians and associate professionals;Nurses and midwives;1;HU101;40;89770
3229;M;Eötvös Loránd Tudományegyetem;Arts and Humanities;pszichológia;NA;E;2628;262;2;263;Professionals;Social and religious professionals;1;HU102;40;133000
3230;F;Nyugat-Magyarországi Egyetem;Economic Science;gazdálkodási;NA;E;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;266973
3231;F;Nyíregyházi Fõiskola;Computer Science and Information Technology;programtervezõ informatikus;Software Engineering;B;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU323;40;76985
3232;M;Miskolci Egyetem;Engineering Science;gépészmérnöki;NA;M;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;366758
3233;M;Dunaújvárosi Fõiskola;Teacher training;tanári;NA;M;5252;525;5;541;"Clerical support workers; service and sales workers";Protective services workers;0;not NUTS special tax ;40;329299
3234;F;Pázmány Péter Katolikus Egyetem;Arts and Humanities;francia nyelv és irodalom;NA;P;3639;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;379310
3235;M;Debreceni Egyetem;Social Science;informatikus könyvtáros;Library and information;B;2716;271;2;264;Professionals;"Authors; journalists and linguists";1;HU311;40;100956
3236;F;Kodolányi János Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;9236;923;9;941;Manual workers;Food preparation assistants;0;HU102;40;106457
3237;F;Kaposvári Egyetem;Economic Science;pénzügy és számvitel;Finance and Accounting;B;3614;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU232;40;118000
3238;F;Nyíregyházi Fõiskola;Teacher training;tanári;NA;M;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU311;40;108025
3239;F;Nyíregyházi Fõiskola;Management;titkárságvezetõ;NA;A;8325;832;8;818;Skilled manual workers;Other stationary plant and machine operators;0;HU323;40;196672
3240;M;Eszterházy Károly Fõiskola;Sport Science;sportszervezõ;Sports organizer;B;5132;513;5;513;"Clerical support workers; service and sales workers";Waiters and bartenders;0;HU312;20;64914
3241;F;Szent István Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;1324;132;1;134;Managers;Professional services managers;1;HU332;40;235019
3242;F;Pannon Egyetem;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU213;20;123500
3243;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;villamosmérnöki;NA;E;2410;241;2;231;Professionals;University and higher education teachers;1;HU101;12;123666
3244;F;Nyíregyházi Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;156000
3245;M;Szegedi Tudományegyetem;Agricultural Science;gazdasági és vidékfejlesztési agrármérnöki;Economic and Rural Development Agricultural Engineering;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;376529
3246;F;Debreceni Egyetem;Social Science;szociálpedagógia;Social pedagogy;B;2432;243;2;234;Professionals;Primary school and early childhood teachers;1;HU311;40;12100
3247;M;Nyugat-Magyarországi Egyetem;Sport Science;egészségtantanár;NA;F;2717;271;3;342;Technicians and associate professionals;Sports and fitness workers;1;HU223;40;161000
3248;F;Szent István Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;2231;223;2;222;Professionals;Nursing and midwifery professionals;1;HU332;40;164246
3249;F;Nyugat-Magyarországi Egyetem;Arts and Humanities;andragógia;Andragogy;B;5113;511;5;522;"Clerical support workers; service and sales workers";Shop salespersons;0;HU212;40;108000
3250;F;Budapesti Corvinus Egyetem;Agricultural Science;élelmiszer-mérnöki;NA;E;2533;253;2;243;Professionals;"Sales; marketing and public relations professionals";1;HU102;40;151500
3251;F;Pázmány Péter Katolikus Egyetem;Law;jogász;NA;E;2612;261;2;261;Professionals;Legal professionals;1;HU101;40;179001
3252;M;Budapesti Kommunikációs és Üzleti Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;2725;272;2;265;Professionals;Creative and performing artists;1;HU101;40;93000
3253;F;Pécsi Tudományegyetem;Economy;pénzügyi szakügyintézõ;NA;A;4229;422;4;422;Clerical support workers;Client information workers;0;HU101;40;124000
3254;F;Szent István Egyetem;Teacher Training;óvodapedagógus;Kindergarten teacher;B;2432;243;2;234;Professionals;Primary school and early childhood teachers;1;HU333;40;110300
3255;M;Szent István Egyetem;Engineering Science;építõmérnöki;Civil engineering;B;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU313;20;46500
3256;F;Semmelweis Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;2410;241;2;231;Professionals;University and higher education teachers;1;HU101;40;174700
3257;M;Budapesti Corvinus Egyetem;Agricultural Science;kertészmérnöki;NA;F;6115;611;6;611;"Skilled agricultural; forestry and fishery workers";Market gardeners and crop growers;0;HU101;40;231578
3258;F;Moholy-Nagy Mûvészeti Egyetem;Arts;építész;NA;E;2115;211;2;216;Professionals;"Architects; planners; surveyors and designers";1;HU101;40;108002
3259;F;Eszterházy Károly Fõiskola;Natural sciences;környezettan;Ecology;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;30;80000
3260;F;Nyugat-Magyarországi Egyetem;Arts and Humanities;andragógia;Andragogy;B;2523;252;2;242;Professionals;Administration professionals;1;not NUTS special tax ;40;502523
3261;M;Pannon Egyetem;Economic Science;nemzetközi tanulmányok;NA;E;3144;314;3;351;Technicians and associate professionals;Information and communications technology operations and user support technicians;1;not NUTS important taxpayer;40;265000
3262;F;Pécsi Tudományegyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU101;40;115000
3263;F;Moholy-Nagy Mûvészeti Egyetem;Arts;textiltervezés;Textile design;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;127999
3264;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4224;422;4;422;Clerical support workers;Client information workers;0;HU311;40;197690
3265;M;Széchenyi István Egyetem;Engineering Science;építõmérnöki;Civil engineering;B;2116;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU211;40;166000
3266;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;gépészmérnöki;Mechanical Engineer;B;2118;211;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;281500
3267;M;Kecskeméti Fõiskola;Engineering Science;gépészmérnöki;Mechanical Engineer;B;3190;319;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU331;40;203100
3268;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;HU101;40;0
3269;M;Debreceni Egyetem;Agricultural Science;környezetgazdálkodási agrármérnöki;NA;E;3161;316;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;HU321;40;99130
3270;F;Kodolányi János Fõiskola;Media and communication studies;intézményi kommunikátor;NA;A;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;30;82500
3271;M;Budapesti Corvinus Egyetem;Agricultural Science;élelmiszermérnöki;Food engineering;B;2511;251;2;241;Professionals;Finance professionals;1;HU101;40;300000
3272;F;Budapesti Corvinus Egyetem;Economic Science;közgazdasági;NA;E;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;374138
3273;F;Nyugat-Magyarországi Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU221;38;282656
3274;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;villamosmérnöki;NA;E;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;0
3275;F;Pannon Egyetem;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU101;40;166923
3276;F;Pázmány Péter Katolikus Egyetem;Law;jogász;NA;E;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;199000
3277;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2421;242;2;233;Professionals;Secondary education teachers;1;HU311;40;216140
3278;F;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;4229;422;4;422;Clerical support workers;Client information workers;0;HU101;40;418448
3279;F;Szent István Egyetem;Arts and Humanities;andragógia;Andragogy;B;2714;271;3;343;Technicians and associate professionals;"Artistic; cultural and culinary associate professionals";1;HU332;40;151700
3280;M;Pázmány Péter Katolikus Egyetem;Religious Science;hittanár;NA;E;2729;272;2;265;Professionals;Creative and performing artists;1;HU101;40;108000
3281;F;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;2410;241;2;231;Professionals;University and higher education teachers;1;HU101;40;172100
3282;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Informatics;mûszaki informatikai;NA;E;2123;212;2;215;Professionals;Electrotechnology engineers;1;not NUTS important taxpayer;40;390000
3283;F;Zsigmond Király Fõiskola;Economic Science;nemzetközi kapcsolatok;NA;F;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU101;40;187000
3284;F;Budapesti Corvinus Egyetem;Military sciences;közigazgatási;NA;M;1419;141;1;121;Managers;Business services and administration managers;1;HU101;40;438500
3285;F;Eszterházy Károly Fõiskola;Teacher training;tanári;NA;M;2499;249;2;235;Professionals;Other teaching professionals;1;HU333;40;156100
3286;M;Pécsi Tudományegyetem;Arts and Humanities;szabad bölcsészet;Liberal Arts;B;8111;811;8;816;Skilled manual workers;Food and related products machine operators;0;not NUTS important taxpayer;40;186220
3287;F;Debreceni Egyetem;Arts and Humanities;pszichológia;NA;E;2410;241;2;231;Professionals;University and higher education teachers;1;HU321;40;172100
3288;F;Nyugat-Magyarországi Egyetem;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;2499;249;2;235;Professionals;Other teaching professionals;1;HU222;40;132600
3289;F;Debreceni Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;2624;262;2;263;Professionals;Social and religious professionals;1;HU321;40;160000
3290;F;Tomori Pál Fõiskola;Economic Science;gazdálkodási;NA;F;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;30;188452
3291;F;Magyar Táncmûvészeti Fõiskola;Arts;klasszikus balettmûvész;NA;M;2727;272;2;265;Professionals;Creative and performing artists;1;HU101;40;108000
3292;M;Pannon Egyetem;Informatics;mûszaki informatikai;NA;F;7342;734;7;742;"Skilled agricultural; forestry and fishery workers; craft and related trades workers";Electronics and telecommunications installers and repairers;0;not NUTS important taxpayer;40;160817
3293;F;Óbudai Egyetem;Engineering Science;könnyûipari mérnöki;Light industrial engineering;B;2729;272;2;265;Professionals;Creative and performing artists;1;HU101;40;46957
3294;F;Eötvös Loránd Tudományegyetem;Arts and Humanities;szlavisztika;Slavic Studies;B;2624;262;2;263;Professionals;Social and religious professionals;1;not NUTS special tax ;30;205890
3295;F;Budapesti Gazdasági Fõiskola;Economic Science;vállalkozásszervezõ;NA;F;3649;364;3;334;Technicians and associate professionals;Administrative and specialised secretaries;1;HU223;40;169949
3296;M;Semmelweis Egyetem;Sport Science;sportmenedzser;NA;M;1210;121;1;112;Managers;Managing directors and chief executives;1;HU101;0;108000
3297;F;Kodolányi János Fõiskola;Teacher training;tanári;NA;M;1329;132;1;134;Managers;Professional services managers;1;HU211;40;528000
3298;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;4111;411;4;412;Clerical support workers;Secretaries (general);0;HU101;40;194500
3299;F;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;4229;422;4;422;Clerical support workers;Client information workers;0;HU333;40;108348
3300;F;Debreceni Egyetem;Health Science;gyógytornász;NA;F;2224;222;2;226;Professionals;Other health professionals;1;HU311;40;232685
